epoch,accuracy,iou_metric,loss,val_accuracy,val_iou_metric,val_loss
0,0.9783824682235718,0.518571674823761,0.21216703951358795,0.9386032819747925,0.4404551684856415,0.2828662693500519
1,0.9879956841468811,0.6629387736320496,0.1307428926229477,0.9825661778450012,0.4712512493133545,0.22743919491767883
2,0.9908554553985596,0.7305289506912231,0.09972377866506577,0.979667603969574,0.40864500403404236,0.28789812326431274
3,0.9919921159744263,0.7624999284744263,0.08599299937486649,0.9855706691741943,0.6776027679443359,0.12756185233592987
4,0.9927282929420471,0.7837150692939758,0.07777459174394608,0.9903021454811096,0.7300606966018677,0.09990571439266205
5,0.9930541515350342,0.7936269044876099,0.0737830251455307,0.9915962815284729,0.7447999119758606,0.09282476454973221
6,0.9939303994178772,0.8125442266464233,0.06601589173078537,0.9897194504737854,0.7289398908615112,0.10384878516197205
7,0.9945586919784546,0.8309311866760254,0.05849320814013481,0.9914347529411316,0.7714194059371948,0.08403235673904419
8,0.9945944547653198,0.8333252668380737,0.057767946273088455,0.9927235245704651,0.7848464250564575,0.07723642885684967
9,0.995098888874054,0.8456244468688965,0.052788157016038895,0.9936850070953369,0.8114537596702576,0.06669701635837555
10,0.9946839809417725,0.8386489152908325,0.05599858611822128,0.992655873298645,0.7873271703720093,0.07683111727237701
11,0.9952830076217651,0.8508610129356384,0.05083002150058746,0.994290828704834,0.8243239521980286,0.0616409033536911
12,0.9953569173812866,0.8559170961380005,0.04915913939476013,0.9941129684448242,0.8192352056503296,0.06374315917491913
13,0.995181679725647,0.8467799425125122,0.05258313566446304,0.9926322102546692,0.7861232161521912,0.07804956287145615
14,0.9957833886146545,0.8649955987930298,0.04548048600554466,0.9936589002609253,0.8199292421340942,0.06417325884103775
15,0.9956421256065369,0.8628701567649841,0.04646771401166916,0.9934215545654297,0.8065283298492432,0.06920265406370163
16,0.9951350092887878,0.8531346321105957,0.05087564140558243,0.9939248561859131,0.8210719227790833,0.06308523565530777
17,0.9960278868675232,0.8724267482757568,0.04269401729106903,0.9937924742698669,0.817518413066864,0.06464308500289917
18,0.9957771301269531,0.866536557674408,0.04525230824947357,0.9941912889480591,0.8274194002151489,0.06117241084575653
19,0.9961106181144714,0.876340389251709,0.04132223501801491,0.9950018525123596,0.8388581871986389,0.0561450831592083
20,0.9960165023803711,0.8742955327033997,0.042136143893003464,0.9942656755447388,0.8274206519126892,0.061133742332458496
21,0.9958234429359436,0.8702487945556641,0.04388004168868065,0.9947827458381653,0.8376728892326355,0.05668763816356659
22,0.9960542917251587,0.8759990930557251,0.041548483073711395,0.9938771724700928,0.8214318156242371,0.06339919567108154
23,0.9961853623390198,0.8788312077522278,0.040450286120176315,0.993886411190033,0.8180254101753235,0.064712755382061
24,0.9961054921150208,0.8754004836082458,0.04169740527868271,0.9948261976242065,0.8394982814788818,0.05592510849237442
25,0.9962528944015503,0.8783507347106934,0.040483467280864716,0.9945741891860962,0.8348895311355591,0.05770285427570343
26,0.9961948990821838,0.8772749900817871,0.04091724753379822,0.9946426749229431,0.8359071612358093,0.0575234591960907
27,0.9963600039482117,0.8827802538871765,0.03893877565860748,0.994447648525238,0.8352498412132263,0.05822603031992912
28,0.9962703585624695,0.8813098073005676,0.03950336202979088,0.9936472773551941,0.8126823902130127,0.06700366735458374
29,0.996009111404419,0.8737143278121948,0.04245045781135559,0.9943486452102661,0.8256306052207947,0.06149633601307869
30,0.9960514903068542,0.8768301606178284,0.04130851477384567,0.994733989238739,0.8343499302864075,0.05800708755850792
31,0.9963743090629578,0.8830249309539795,0.03883656486868858,0.9945282936096191,0.8323426842689514,0.05922604352235794
32,0.9963029623031616,0.880844235420227,0.03958335146307945,0.9933517575263977,0.8235574960708618,0.06412561982870102
33,0.996134877204895,0.8782426118850708,0.04075723513960838,0.9936747550964355,0.8258770108222961,0.06250980496406555
34,0.9964874982833862,0.8864829540252686,0.03753184899687767,0.9949524402618408,0.8432221412658691,0.05459880828857422
35,0.9964365363121033,0.8854953646659851,0.03790127858519554,0.9946068525314331,0.8397491574287415,0.056126441806554794
